name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
22,2014,1450000,27800,2,2,1,2,14.8,2143,120.7,5.0
11,2015,425000,49800,2,2,0,1,24.7,1498,98.63,5.0
23,2013,1090000,151000,2,2,0,1,13.5,2477,175.56,7.0
11,2015,600000,54700,2,2,0,1,26.0,1498,98.6,5.0
21,2018,850000,64000,1,2,0,1,20.65,1462,103.25,5.0
11,2015,525000,63000,2,2,0,1,27.3,1498,98.6,5.0
30,2016,1650000,127700,2,2,1,2,11.36,2755,171.5,7.0
30,2016,950000,99000,2,2,0,1,12.99,2494,100.6,7.0
3,2013,1750000,33900,2,2,1,2,17.68,1968,174.33,5.0
30,2018,1590000,25000,1,2,1,1,14.28,1798,138.03,5.0
3,2013,1689999,50000,2,2,1,1,18.53,1968,187.74,5.0
22,2013,1425000,59000,2,2,1,1,14.84,2143,170.0,5.0
29,2011,265000,120000,2,1,0,1,21.12,1248,88.8,5.0
12,2011,190000,110000,1,1,0,3,20.36,1197,78.9,5.0
12,2013,425000,60000,2,1,0,1,21.27,1396,88.76,5.0
21,2015,630000,147000,2,1,0,2,26.59,1248,74.0,5.0
10,2017,600000,25000,1,1,0,3,18.16,1196,86.8,5.0
21,2019,650000,30000,1,1,0,1,21.4,1197,83.1,5.0
31,2016,540000,40000,2,1,0,1,22.0,1498,108.495,5.0
11,2015,630000,135000,2,1,0,1,25.1,1498,98.6,5.0
21,2018,448000,30000,1,1,1,1,20.51,998,67.0,5.0
31,2017,500000,80000,2,1,0,1,21.66,1498,108.62,5.0
21,2016,745000,70000,2,1,0,1,24.3,1248,88.5,5.0
21,2019,1025000,9850,2,1,1,1,24.3,1248,88.5,5.0
12,2011,235000,60000,1,1,0,2,20.36,1197,78.9,5.0
21,2016,630000,70000,2,1,0,1,25.2,1248,74.0,5.0
30,2015,1700000,78000,2,1,0,2,12.55,2982,168.5,7.0
21,2013,450000,120000,2,1,0,2,22.9,1248,74.0,5.0
21,2012,450000,120000,1,1,0,2,16.02,1373,93.7,7.0
31,2013,450000,170000,2,1,0,1,20.54,1598,103.6,5.0
30,2016,1200000,140000,2,1,0,1,12.99,2494,100.6,8.0
10,2015,610000,90000,2,1,0,1,22.77,1498,98.59,5.0
4,2016,2500000,30000,1,1,1,2,15.71,1998,189.0,5.0
21,2017,484999,10000,1,2,0,1,23.1,998,67.04,5.0
7,2016,275000,49000,1,2,0,1,19.02,1198,67.05,5.0
21,2016,315000,32000,1,2,0,1,24.7,796,47.3,5.0
21,2016,275000,38000,1,2,0,1,24.7,796,47.3,5.0
12,2012,290000,28000,1,2,0,1,19.81,1086,68.05,5.0
21,2017,280000,32000,1,2,0,1,14.0,796,35.0,5.0
21,2010,225000,44000,4,2,0,1,26.2,998,58.2,5.0
31,2015,455000,42000,1,2,0,1,16.47,1198,74.0,5.0
12,2015,351000,45000,1,2,0,2,19.81,1086,68.05,5.0
31,2012,535000,12000,1,2,0,2,15.04,1598,103.6,5.0
21,2009,175000,55500,1,2,0,1,18.2,998,67.1,5.0
12,2013,525000,61500,1,2,0,1,18.5,1197,82.85,5.0
21,2016,600000,150000,2,1,0,1,26.59,1248,74.0,5.0
12,2016,565000,72000,1,2,1,1,19.1,1197,82.0,5.0
21,2008,120000,68000,1,2,0,3,19.7,796,46.3,5.0
12,2017,725000,110000,2,1,0,1,22.54,1396,88.73,5.0
21,2009,185000,77000,1,2,0,2,21.79,998,67.05,5.0
29,2010,200000,100000,2,1,0,2,18.8,1248,90.0,5.0
21,2019,615000,10000,1,1,0,1,21.21,1197,81.8,5.0
21,2016,270000,100000,1,1,0,3,15.37,1196,73.0,7.0
21,2018,610000,35000,1,1,0,1,21.4,1197,83.1,5.0
20,2014,625000,70000,2,1,1,2,11.79,2179,120.0,8.0
10,2020,400000,5000,1,1,0,2,19.0,1194,94.68,5.0
12,2017,866000,37800,1,1,0,1,17.0,1591,121.3,5.0
31,2010,700000,114000,1,1,0,1,14.3,1798,160.0,5.0
29,2010,300000,48000,1,1,0,1,15.8,1172,65.0,5.0
20,2019,1700000,32000,2,1,0,1,15.1,2179,155.0,7.0
29,2016,375000,100000,2,1,0,1,19.09,1405,69.01,5.0
12,2013,522000,150000,2,1,0,2,22.32,1582,126.32,5.0
12,2013,451999,69000,2,1,0,1,21.9,1396,88.76,5.0
30,2009,300000,100000,1,1,0,2,14.53,1798,138.1,5.0
21,2020,475000,13000,1,1,0,1,21.63,998,67.04,5.0
21,2016,780000,60000,2,1,0,1,24.3,1248,88.5,5.0
21,2017,595000,40000,1,1,0,1,20.85,1197,83.14,5.0
21,2017,440000,35000,1,1,0,1,20.51,998,67.04,5.0
24,2014,400000,70000,2,1,0,3,20.45,1461,83.8,5.0
12,2016,1140000,50000,2,1,0,1,19.67,1582,126.2,5.0
10,2017,850000,76139,2,1,0,1,23.0,1498,98.96,5.0
21,2012,370000,175000,2,1,0,4,19.3,1248,73.9,5.0
27,2018,350000,25000,1,1,0,1,23.01,999,67.0,5.0
21,2015,360000,40000,1,1,0,2,23.1,998,67.04,5.0
21,2008,105000,65000,1,1,0,4,19.7,796,46.3,5.0
21,2013,625000,90000,2,1,0,2,20.77,1248,88.76,7.0
12,2009,135000,80000,1,1,0,2,17.92,1086,62.1,5.0
21,2015,700000,110000,2,1,0,2,20.77,1248,88.76,7.0
11,2019,690000,1303,1,2,0,1,17.8,1198,86.7,5.0
3,2018,3975000,31800,2,2,1,1,17.01,1968,188.0,5.0
18,2019,5150000,20000,1,2,1,1,22.37,2487,214.56,5.0
14,2017,3200000,45000,2,2,1,1,19.33,1999,177.0,5.0
15,2017,4100000,17000,1,1,1,1,9.5,3604,280.0,5.0
17,2019,4500000,21000,2,2,1,1,12.83,1999,148.31,7.0
22,2017,6000000,37000,2,2,1,1,13.5,2987,254.79,5.0
4,2018,3790000,29500,2,2,1,1,22.48,1995,187.74,5.0
4,2019,5800000,7500,2,2,1,1,16.78,1995,190.0,5.0
28,2018,1864999,50000,1,2,1,1,14.67,1798,177.46,5.0
22,2016,2700000,35000,2,2,1,1,15.0,2143,204.0,5.0
19,2019,1750000,19000,1,2,1,1,13.96,1451,141.0,5.0
11,2017,795000,41000,1,2,1,1,18.0,1497,117.6,5.0
30,2013,625000,39000,1,2,1,1,14.28,1798,138.03,5.0
32,2018,3400000,22000,2,2,1,1,18.0,1969,190.0,5.0
3,2015,2650000,53000,2,2,1,1,12.07,2967,241.4,7.0
21,2015,535000,40000,2,2,0,1,26.21,1248,88.5,5.0
22,2017,5850000,47000,2,2,1,1,13.5,2987,282.0,5.0
4,2010,975000,72200,1,2,1,2,10.8,2497,150.0,5.0
12,2016,805000,49900,1,2,0,1,16.3,1797,147.5,5.0
14,2017,2625000,9000,2,2,1,1,13.6,1999,177.0,5.0
29,2018,811000,11000,1,2,0,1,17.0,1198,108.5,5.0
31,2011,375000,49000,1,1,0,1,15.04,1598,103.6,5.0
12,2012,550000,95000,1,1,0,1,16.3,1797,147.5,5.0
28,2016,645000,11000,1,2,1,1,14.3,1598,103.5,5.0
22,2018,2550000,18000,1,2,1,1,15.04,1991,183.0,5.0
21,2014,599000,46100,1,2,0,1,16.02,1373,93.7,7.0
22,2017,2700000,16000,1,2,1,1,14.74,1991,181.04,5.0
11,2017,875000,18000,1,2,1,1,15.6,1497,116.3,5.0
30,2019,894999,9654,1,2,1,1,19.56,1197,81.8,5.0
21,2011,175000,11000,1,2,0,1,23.95,998,67.05,5.0
21,2012,340000,24300,1,2,0,1,21.21,1197,81.8,5.0
30,2016,1525000,42163,2,2,1,2,11.36,2755,171.5,7.0
29,2018,1025000,8000,2,2,1,1,21.5,1497,108.5,5.0
4,2016,2150000,30000,2,2,1,1,22.69,1995,190.0,5.0
30,2016,1900000,41000,1,2,1,1,19.16,2494,157.7,5.0
4,2016,2900000,12000,2,2,1,1,18.12,1995,190.0,5.0
30,2009,450000,71000,1,2,1,1,12.1,2362,164.7,5.0
21,2016,850000,20000,1,1,0,1,17.5,1373,91.1,7.0
32,2017,10000000,30000,1,1,1,1,42.0,1969,400.0,4.0
31,2011,300000,100000,2,1,0,2,20.54,1598,103.6,5.0
10,2018,575000,9500,1,1,0,1,18.16,1196,86.8,5.0
10,2011,160000,120000,2,1,0,1,20.0,1399,68.0,5.0
21,2015,515000,36600,1,1,0,1,20.4,1197,81.8,5.0
21,2015,390000,50000,1,1,1,2,20.51,998,67.0,5.0
12,2016,550000,14000,1,1,0,2,18.6,1197,81.83,5.0
21,1999,40000,40000,1,1,0,2,16.1,796,37.0,4.0
21,2010,220000,120000,2,1,0,1,21.1,1248,73.9,5.0
12,2015,425000,70000,1,1,0,1,18.9,1197,82.0,5.0
31,2019,480000,13000,1,1,0,1,19.44,999,75.0,5.0
12,2014,400000,60000,1,1,0,2,18.9,1197,82.0,5.0
21,2014,487000,35000,1,1,0,1,19.1,1197,85.8,5.0
12,2016,386000,44000,1,1,0,2,19.1,1197,82.0,5.0
11,2005,100000,120000,1,1,0,2,13.0,1493,100.0,5.0
30,2010,300000,60000,2,1,0,1,21.43,1364,87.2,5.0
6,2000,100000,60000,1,1,0,1,18.5,796,53.0,5.0
30,2014,1750000,30000,2,1,0,2,13.0,2982,168.5,7.0
20,2016,450000,15000,1,1,0,2,18.15,1198,82.0,6.0
29,2017,490000,90000,2,1,0,1,22.95,1248,74.0,5.0
11,2009,345000,47000,1,1,0,2,17.0,1497,118.0,5.0
21,2005,85000,90000,1,1,0,1,17.3,993,60.0,5.0
21,2010,215000,120600,1,1,0,2,18.9,998,67.1,5.0
12,2010,320000,100000,1,1,0,3,16.2,1599,103.2,5.0
21,2016,459999,60000,1,1,0,2,20.85,1197,83.14,5.0
12,2005,65000,86000,1,1,0,1,15.3,1341,83.0,5.0
12,2020,720000,5000,1,1,0,1,18.6,1197,81.86,5.0
21,2017,800000,37000,2,1,0,1,28.09,1248,88.5,5.0
29,2019,520000,14000,1,1,0,1,20.3,1199,84.0,5.0
21,2015,580000,70000,2,1,0,1,20.77,1248,88.76,7.0
11,2015,600000,50000,1,1,0,1,17.4,1497,117.3,5.0
11,2014,290000,60000,1,1,0,2,19.4,1198,86.8,5.0
21,2016,360000,50000,3,1,0,1,26.6,998,58.16,5.0
21,2017,550000,50000,1,1,0,1,20.85,1197,83.14,5.0
12,2013,375000,70000,1,1,0,1,18.5,1197,82.85,5.0
21,2018,420000,35000,1,1,1,1,20.51,998,67.0,5.0
21,2017,550000,20000,1,1,0,1,21.21,1197,81.8,5.0
21,2018,270000,20000,1,1,0,1,24.7,796,47.3,5.0
21,2018,700000,7800,1,1,1,1,22.0,1197,81.8,5.0
21,2017,500000,20000,1,1,0,1,20.4,1197,81.8,5.0
29,2019,1250000,15000,2,1,0,1,17.6,2179,147.94,7.0
12,2013,320000,31377,1,1,0,2,18.5,1197,82.85,5.0
21,2018,700000,50000,2,1,0,1,28.4,1248,74.02,5.0
21,2015,290000,60000,1,1,0,1,20.51,998,67.04,5.0
30,2012,550000,100000,1,1,1,1,14.53,1794,138.1,5.0
11,2012,265000,60000,1,1,0,1,19.4,1198,86.8,5.0
21,2018,830000,5000,1,1,1,1,21.4,1197,83.1,5.0
29,2017,800000,60000,2,1,0,1,14.1,2179,147.94,7.0
21,2011,160000,25000,1,1,0,2,19.7,796,46.3,5.0
27,2018,335000,30000,1,1,0,1,25.17,799,53.3,5.0
7,2017,329000,80000,1,1,0,2,20.63,1198,67.0,5.0
21,2017,775000,75000,2,1,0,1,24.3,1248,88.5,5.0
12,2020,524000,32000,1,1,0,1,20.14,1197,81.86,5.0
21,2015,245000,40000,1,1,0,1,22.74,796,47.3,5.0
12,2012,275000,93000,1,1,0,2,17.0,1197,80.0,5.0
29,2018,520000,60000,1,1,0,1,17.57,1193,88.7,5.0
24,2014,550000,37000,1,1,0,1,16.95,1498,97.7,5.0
10,2018,910000,15000,1,1,0,1,17.0,1497,121.36,5.0
24,2015,300000,80000,1,1,0,1,19.49,1198,67.04,5.0
21,2016,350000,140000,1,1,0,1,20.51,998,67.04,5.0
20,2013,900000,70000,2,1,0,1,12.83,2696,162.0,7.0
20,2013,300000,120000,2,1,0,2,17.21,1493,100.0,7.0
21,2010,250000,110000,2,1,0,2,21.1,1248,73.9,5.0
12,2017,1100000,37000,2,1,0,1,19.67,1582,126.2,5.0
27,2016,270000,44000,1,1,0,1,25.17,799,53.3,5.0
21,2015,640000,80000,2,1,0,1,20.77,1248,88.76,7.0
20,2015,650000,125000,2,1,0,1,15.1,2179,140.0,7.0
21,2017,409999,13500,1,1,0,1,15.37,1196,73.0,5.0
12,2011,165000,75000,1,1,0,1,17.92,1086,62.1,5.0
12,2007,80000,120000,1,1,0,2,13.2,1495,94.0,5.0
20,2012,535000,120000,2,1,0,1,15.1,2179,140.0,7.0
30,2013,700000,70000,2,1,0,1,12.99,2494,100.57,7.0
21,2013,550000,70000,2,1,0,1,23.4,1248,74.0,5.0
11,2019,680000,15000,1,1,1,1,19.0,1199,88.76,5.0
12,2009,200000,53000,1,1,0,2,20.36,1197,78.9,5.0
21,2014,500000,120000,2,1,0,2,23.4,1248,74.0,5.0
21,2016,1000000,70000,2,1,0,1,24.52,1248,88.5,7.0
12,2008,110000,120000,1,1,0,2,14.2,1341,82.9,5.0
12,2012,320000,100000,1,1,0,2,18.5,1197,80.0,5.0
21,2015,350000,100000,1,1,0,1,20.4,1197,83.11,5.0
29,2013,170000,162500,2,1,0,1,19.4,1405,70.0,5.0
12,2017,800000,39000,2,1,0,1,22.54,1396,88.73,5.0
21,2017,500000,75000,2,1,0,1,26.8,1248,74.0,5.0
29,2017,1380000,50000,2,1,1,1,17.6,2179,153.86,7.0
20,2019,1300000,40000,2,1,0,1,17.3,1497,121.0,8.0
12,2013,530000,92500,2,1,0,1,22.32,1582,126.3,5.0
21,2012,360000,158000,2,1,0,1,23.4,1248,74.0,5.0
21,2012,310000,120000,2,1,0,1,19.3,1248,73.9,5.0
11,2015,725000,50000,2,1,0,2,26.0,1498,98.6,5.0
21,2012,340000,110000,2,1,0,1,19.3,1248,73.9,5.0
12,2017,550000,2000,2,1,0,2,25.4,1186,73.97,5.0
30,2011,1150000,181000,2,1,0,2,11.5,2982,171.0,7.0
29,2016,380000,70000,2,1,0,1,27.28,1047,69.0,5.0
24,2013,350000,90000,1,1,1,2,17.97,1498,99.6,5.0
12,2019,610000,2000,1,1,0,1,18.6,1197,81.86,5.0
21,2015,525000,20000,1,1,0,1,20.85,1197,83.14,5.0
30,2011,480000,120000,2,1,0,1,12.8,2494,102.0,7.0
20,2017,780000,35000,2,1,0,1,16.55,2498,105.0,6.0
21,2012,320000,193000,2,1,0,1,19.3,1248,73.9,5.0
21,2014,375000,80000,1,1,0,1,20.4,1197,81.8,5.0
7,2019,300000,40000,1,1,0,1,19.02,1198,67.05,5.0
12,2015,500000,70000,2,1,0,4,22.54,1396,88.73,5.0
20,2011,404000,122358,2,1,0,1,12.05,2179,120.0,9.0
29,2015,500000,75000,2,1,0,1,14.07,2956,69.01,7.0
29,2017,350000,120000,2,1,0,1,27.28,1047,69.0,5.0
29,2015,380000,40000,1,1,0,1,17.57,1193,88.7,5.0
12,2008,114999,95200,1,1,0,3,13.2,1495,94.0,5.0
11,2014,335000,33033,1,2,0,1,19.4,1198,86.8,5.0
12,2015,465000,63063,1,2,1,1,18.9,1197,82.0,5.0
29,2012,290000,60000,2,1,0,1,21.02,1248,88.76,5.0
21,2005,110000,45000,1,1,0,2,19.7,796,46.3,5.0
29,2011,450000,80000,2,1,0,3,11.57,2179,138.1,7.0
20,2009,400000,170000,2,1,0,2,13.6,2523,63.0,7.0
20,2007,210000,207890,2,1,0,2,13.6,2523,63.0,7.0
22,2018,4600000,7976,2,1,1,1,17.9,2143,170.0,5.0
21,2016,220000,35000,1,1,0,1,16.8,796,34.2,8.0
12,2017,450000,35000,1,1,0,1,18.9,1197,82.0,5.0
12,2017,450000,35000,1,1,0,1,18.9,1197,82.0,5.0
12,2013,290000,50000,1,1,1,1,16.95,1197,78.9,5.0
21,2016,520000,20000,1,1,0,1,20.4,1197,81.8,5.0
12,2011,265000,20000,1,1,1,1,16.95,1197,78.9,5.0
21,2012,330000,50000,1,1,0,2,18.6,1197,85.8,5.0
21,2012,330000,50000,1,1,0,2,18.6,1197,85.8,5.0
20,2014,509999,120000,2,1,0,1,15.96,2523,62.1,7.0
12,2014,500000,70000,1,1,0,1,17.1,1591,121.3,5.0
12,2015,525000,50000,1,1,0,1,17.19,1197,81.86,5.0
21,2019,675000,16500,1,1,0,1,21.01,1197,81.8,5.0
12,2010,300000,70000,1,1,0,1,17.0,1197,80.0,5.0
21,2005,90000,99361,1,1,0,2,19.7,796,46.3,5.0
21,2017,650000,25000,2,1,0,1,26.59,1248,74.0,5.0
21,2014,409000,70000,1,1,0,2,19.1,1197,85.8,5.0
12,2015,395000,80000,2,1,0,2,24.0,1120,70.0,5.0
21,2014,400000,70000,1,1,0,2,19.1,1197,85.8,5.0
5,2012,120000,60000,1,1,0,3,18.6,1199,79.4,5.0
29,2018,645000,10000,1,1,1,1,20.3,1199,84.0,5.0
21,2006,81000,80000,1,1,0,1,16.1,796,37.0,4.0
11,2017,1300000,30000,2,1,0,1,25.6,1498,97.9,5.0
11,2017,1250000,33000,2,1,0,1,25.6,1498,97.9,5.0
21,2013,535000,90000,1,1,0,3,16.02,1373,93.7,7.0
24,2014,555000,80100,2,1,0,2,19.01,1461,108.5,5.0
11,2014,725000,120000,1,1,0,1,17.4,1497,117.3,5.0
27,2016,229999,40000,1,1,0,1,25.17,799,53.3,5.0
30,2013,800000,160000,2,1,0,2,12.99,2494,100.6,8.0
21,2017,409999,47000,1,1,0,1,20.51,998,67.04,5.0
12,2018,1210000,25000,2,1,0,1,21.38,1396,88.7,5.0
29,2017,400000,26000,1,1,0,1,23.84,1199,84.0,5.0
12,2018,520000,29000,2,1,0,1,24.0,1186,73.97,5.0
21,2016,650000,50000,1,1,1,1,21.4,1197,83.1,5.0
21,2011,325000,58000,1,1,0,3,16.1,1298,88.2,5.0
21,2012,420000,120000,1,1,1,1,17.4,1197,85.8,5.0
21,2014,400000,50000,1,1,0,1,20.4,1197,81.8,5.0
12,2010,254999,80000,1,1,0,4,17.0,1197,80.0,5.0
21,2003,65000,60000,1,1,0,4,17.3,993,60.0,5.0
21,2017,351000,36000,1,1,0,1,23.1,998,67.04,5.0
30,2007,404000,120000,2,1,0,3,12.8,2494,102.0,8.0
21,2011,185000,185000,2,1,0,3,21.1,1248,73.9,5.0
24,2011,250000,50000,2,1,0,1,23.08,1461,63.1,5.0
21,2002,60000,100000,1,1,0,4,17.3,993,60.0,5.0
12,2013,500000,50000,1,1,0,2,17.1,1591,121.3,5.0
21,2007,85000,80000,1,1,0,2,18.2,998,67.1,5.0
21,2005,85000,80000,1,1,0,4,19.7,796,46.3,5.0
21,2011,265000,90000,2,1,0,4,19.3,1248,73.9,5.0
21,2010,130000,162000,1,1,0,2,19.0,998,66.1,5.0
21,2013,480000,110000,2,1,0,3,20.77,1248,88.76,7.0
21,2008,170000,120000,2,1,0,3,17.8,1248,75.0,5.0
24,2011,275000,45000,2,1,0,1,23.08,1461,63.1,5.0
21,2005,89000,90000,1,1,0,2,18.9,998,67.1,5.0
10,2010,170000,90000,2,1,0,2,20.0,1399,68.0,5.0
20,2019,1090000,16500,1,2,0,1,17.0,1197,110.0,5.0
12,2017,1100000,67000,2,1,1,1,17.01,1582,126.2,5.0
21,2018,610000,52000,1,2,0,1,22.0,1197,81.8,5.0
7,2016,335000,40000,1,2,0,1,20.63,1198,67.0,5.0
12,2015,434999,40000,1,2,0,1,18.9,1197,82.0,5.0
30,2018,3000000,35000,2,1,0,1,14.24,2755,174.5,7.0
27,2018,390000,13000,1,2,0,1,20.71,799,53.26,5.0
11,2012,325000,40000,1,2,0,1,18.5,1198,86.8,5.0
31,2019,640000,10000,1,2,0,1,17.0,1198,73.75,5.0
24,2012,450000,9000,1,2,0,1,16.95,1498,97.7,5.0
30,2013,400000,70000,2,2,0,2,23.59,1364,67.06,5.0
12,2009,215000,60000,1,2,0,1,20.36,1197,78.9,5.0
27,2014,570000,40000,2,2,0,1,20.45,1461,83.8,5.0
20,2012,680000,93000,2,2,0,1,15.1,2179,140.0,7.0
30,2008,325000,80000,2,1,0,4,12.8,2494,102.0,7.0
29,2011,150000,50000,1,1,0,2,15.64,1193,64.08,5.0
12,2013,690000,68000,1,2,1,1,14.5,1797,147.5,5.0
22,2013,1550000,25000,2,1,1,1,14.84,2143,170.0,5.0
29,2012,64000,18000,1,2,0,1,25.4,624,37.5,4.0
24,2013,250000,120000,2,1,0,1,23.08,1461,63.1,5.0
21,2005,65000,35000,1,1,0,1,18.9,998,67.1,5.0
21,2016,550000,60000,2,1,0,2,26.59,1248,74.0,5.0
12,2010,140000,70000,1,1,0,4,20.36,1197,78.9,5.0
27,2016,300000,30000,1,1,0,1,25.17,799,53.3,5.0
31,2016,800000,70000,1,1,1,1,16.34,1798,189.3,5.0
14,2017,2625000,9000,2,2,1,1,13.6,1999,177.0,5.0
18,2019,5150000,20000,1,2,1,1,22.37,2487,214.56,5.0
14,2017,3200000,45000,2,2,1,1,19.33,1999,177.0,5.0
29,2015,503000,110000,2,1,0,1,14.1,2179,147.94,7.0
32,2019,3800000,20000,2,1,1,1,18.0,1969,190.0,5.0
30,2016,2000000,68089,1,3,1,1,19.16,2494,157.7,5.0
21,2013,225000,58343,1,3,0,1,21.79,998,67.05,5.0
21,2018,740000,38817,2,2,0,1,27.39,1248,74.0,5.0
11,2016,550000,56494,1,3,0,1,18.2,1199,88.7,5.0
30,2013,750000,79328,2,3,0,2,12.99,2494,100.6,7.0
21,2019,650000,5621,1,3,1,1,22.0,1197,81.8,5.0
30,2017,625000,25538,1,3,0,1,16.78,1496,88.73,5.0
21,2018,600000,69779,1,2,1,1,22.0,1197,81.8,5.0
12,2017,450000,56290,2,2,0,1,24.0,1186,73.97,5.0
4,2019,5400000,7500,2,2,1,1,16.78,1995,190.0,5.0
4,2019,5500000,8500,2,2,1,1,16.78,1995,190.0,5.0
11,2019,779000,7032,1,3,1,1,19.0,1199,88.76,5.0
28,2016,645000,11000,1,2,1,1,14.3,1598,103.5,5.0
32,2018,2475000,2000,2,2,1,1,16.8,1984,150.0,5.0
12,2010,150000,106000,1,1,0,3,20.36,1197,78.9,5.0
11,2009,500000,120000,1,1,1,2,11.1,2354,158.8,5.0
21,2015,480000,90000,2,1,0,1,26.59,1248,74.0,5.0
12,2014,535000,70000,2,1,0,3,22.32,1582,126.32,5.0
30,2005,250000,240000,2,1,0,3,12.8,2494,102.0,8.0
21,2012,300000,100000,2,1,0,2,21.5,1248,88.8,5.0
12,2009,340000,214000,1,1,0,2,13.9,1599,103.2,5.0
12,2009,340000,214000,2,1,0,2,16.8,1493,110.0,5.0
21,2016,240000,50000,1,1,0,1,22.74,796,47.3,5.0
11,2018,1085000,1000,1,1,1,1,18.0,1497,117.6,5.0
21,2017,750000,19000,2,1,1,1,28.4,1248,74.02,5.0
29,2012,95000,265000,2,1,0,2,17.0,1405,70.0,5.0
21,2020,409999,35000,3,1,0,1,20.88,1196,61.7,5.0
21,2014,215000,80000,1,1,0,2,23.95,998,67.05,5.0
20,2016,1290000,50000,2,1,1,1,16.0,2179,140.0,7.0
21,2010,150000,80000,1,1,0,1,20.92,998,67.1,5.0
12,2013,219000,50000,1,1,0,2,21.1,814,55.2,5.0
29,2018,325000,100000,1,1,0,1,23.84,1199,84.0,5.0
21,2013,260000,120000,1,1,0,2,15.1,1196,73.0,5.0
14,2017,2625000,9000,2,2,1,1,13.6,1999,177.0,5.0
18,2019,5150000,20000,1,2,1,1,22.37,2487,214.56,5.0
14,2017,3200000,45000,2,2,1,1,19.33,1999,177.0,5.0
29,2015,503000,110000,2,1,0,1,14.1,2179,147.94,7.0
32,2019,3800000,20000,2,1,1,1,18.0,1969,190.0,5.0
30,2016,2000000,68089,1,3,1,1,19.16,2494,157.7,5.0
21,2013,225000,58343,1,3,0,1,21.79,998,67.05,5.0
21,2018,740000,38817,2,2,0,1,27.39,1248,74.0,5.0
11,2016,550000,56494,1,3,0,1,18.2,1199,88.7,5.0
30,2013,750000,79328,2,3,0,2,12.99,2494,100.6,7.0
21,2019,650000,5621,1,3,1,1,22.0,1197,81.8,5.0
30,2017,625000,25538,1,3,0,1,16.78,1496,88.73,5.0
21,2018,600000,69779,1,2,1,1,22.0,1197,81.8,5.0
12,2017,450000,56290,2,2,0,1,24.0,1186,73.97,5.0
